Age,Experience,Education,Family,Zip,Income,Mortgage,Credit,Loan,Securities,Deposit,Online,Card
41,16,3,1,92507,82,0,4.00,0,0,0,1,0
33,9,2,1,94305,50,0,2.40,0,0,0,0,0
46,22,3,1,91730,18,0,0.90,0,0,0,1,0
27,2,3,4,94005,109,0,1.80,0,0,0,0,0
40,16,2,4,94501,42,126,2.20,0,0,0,0,0
48,22,1,3,94305,78,0,1.10,0,0,0,1,0
65,41,1,2,94117,51,0,1.10,0,0,0,1,0
25,-1,3,4,94303,113,0,2.30,0,0,0,0,1
55,30,2,4,90277,118,0,5.60,1,0,0,1,0
35,10,3,4,94105,29,0,1.10,0,0,0,1,0
43,19,2,3,94305,34,0,0.60,0,0,0,0,0
60,34,3,2,94550,64,236,1.70,0,1,0,1,0
65,39,1,1,92612,121,0,2.00,0,0,0,0,0
38,12,3,4,95617,48,0,0.20,0,0,0,1,0
41,15,1,1,95014,80,0,5.20,0,0,0,0,0
54,28,1,1,92121,161,0,2.90,0,0,0,1,0
49,23,1,1,92374,94,0,0.30,0,0,0,1,0
66,41,3,3,91711,15,0,0.10,0,0,0,1,0
48,23,1,1,94080,74,0,1.20,0,0,0,1,0
61,36,2,3,94608,30,0,1.30,0,0,0,0,0
53,23,3,3,93555,44,198,1.00,0,0,0,1,1
43,18,2,2,95670,22,0,0.30,0,0,0,1,0
56,32,1,4,93311,38,166,1.30,0,0,0,1,1
24,0,2,3,94704,35,0,0.10,0,1,0,1,0
43,17,1,4,92717,69,0,2.90,0,0,0,1,1
42,18,1,1,92037,43,136,0.70,0,0,0,0,0
33,7,3,1,95136,32,166,0.60,0,0,0,1,0
43,17,1,1,94542,49,0,2.80,0,0,0,1,0
41,14,2,3,91330,9,0,1.00,0,0,0,0,0
62,38,2,4,94143,45,0,1.30,0,0,0,1,0
40,15,1,3,91775,82,309,1.00,0,0,0,0,0
58,34,1,2,92703,92,103,2.80,0,0,0,0,0
39,14,3,3,92354,39,0,0.50,0,0,0,1,0
65,40,2,3,92024,81,0,1.80,0,0,0,1,0
54,29,2,1,92831,35,0,1.50,0,0,0,1,0
58,33,3,2,92833,61,193,2.30,0,0,0,1,0
41,16,1,3,92647,73,0,3.00,0,0,0,1,0
32,7,1,1,94304,112,366,4.60,0,0,0,0,0
54,29,3,2,90057,12,0,0.20,0,0,0,1,0
52,26,3,3,91711,38,0,0.90,0,0,0,1,0
58,32,2,2,94523,73,0,0.70,0,0,0,1,1
37,13,2,1,92130,84,0,3.60,0,1,0,0,0
39,15,1,4,92121,78,118,2.40,0,0,0,1,0
60,35,1,3,91301,80,0,0.50,0,0,0,1,0
31,5,1,2,92096,115,101,1.30,0,0,0,1,1
34,8,2,1,92646,82,251,2.70,0,0,0,1,0
38,14,1,2,92182,74,0,0.00,0,1,0,1,0
41,16,3,3,92131,70,0,0.50,0,0,0,0,1
28,4,1,3,94801,81,276,1.50,0,0,0,1,0
58,34,2,4,93720,149,0,7.20,1,0,1,1,1
31,1,3,2,90840,51,0,1.75,0,0,0,0,0
30,4,2,3,90245,39,0,1.10,0,0,0,1,0
53,29,2,3,95035,98,0,1.80,0,0,0,0,0
58,33,1,4,93010,45,0,2.10,0,0,0,1,1
59,32,2,4,95035,49,0,2.50,0,0,0,1,0
49,25,1,2,95054,128,0,0.40,0,0,0,0,0
59,34,1,3,94928,42,0,1.50,0,1,1,0,1
59,35,3,1,93305,18,0,1.20,0,0,0,1,0
51,25,3,2,90245,31,161,0.40,0,0,0,1,1
35,11,1,3,95831,58,149,2.00,0,0,0,1,1
33,9,3,1,91770,48,0,2.10,0,0,0,0,1
25,1,1,4,94117,54,0,1.60,0,0,0,1,1
49,23,2,2,92093,70,0,1.50,0,0,0,0,0
59,35,1,1,90007,124,0,7.40,0,0,0,0,1
46,19,2,1,94102,84,0,2.67,0,0,0,1,1
50,25,3,4,94542,83,188,3.60,0,0,0,1,0
52,28,1,2,91423,163,116,0.40,0,0,0,1,0
48,22,2,3,93955,42,0,2.20,0,0,0,0,0
46,22,1,2,94107,118,0,7.50,0,0,1,1,1
26,0,3,3,92834,132,0,6.50,1,0,0,0,1
57,32,1,1,93117,24,0,1.30,0,0,0,1,1
60,36,1,2,94551,22,0,1.00,0,1,1,1,1
54,29,3,4,92612,58,0,1.30,0,0,0,0,0
24,0,1,4,94596,60,0,1.60,0,0,0,1,0
26,0,1,4,92131,15,0,0.40,0,0,0,0,1
41,17,1,4,94025,83,0,2.67,0,0,0,1,1
32,6,3,2,94720,79,0,1.50,0,0,0,1,1
61,35,2,4,94545,41,0,1.70,0,1,0,1,0
29,0,3,4,95819,134,0,6.50,1,0,0,0,0
61,35,1,2,95053,80,0,2.80,0,0,0,1,0
38,12,1,1,90036,52,0,2.00,0,0,0,0,0
28,4,1,4,91125,70,0,2.60,0,0,0,1,0
53,27,1,2,95120,92,0,1.10,0,1,0,0,0
27,1,1,1,94706,43,0,1.50,0,0,0,1,0
25,1,2,3,95827,21,0,1.00,0,0,0,0,0
33,9,3,3,94305,23,0,0.90,0,0,0,1,1
50,26,1,4,91320,13,0,1.00,0,0,0,1,0
27,1,3,4,90503,112,0,2.10,0,0,0,0,1
27,1,1,2,90250,138,0,2.00,0,0,0,1,0
52,28,1,3,95817,11,0,0.40,0,1,0,0,0
38,13,1,2,92717,171,0,7.80,0,0,0,1,0
58,34,1,4,90095,42,0,1.50,0,0,0,1,1
42,17,2,2,95503,168,0,7.90,1,0,0,1,0
45,20,2,4,91711,85,0,1.10,0,1,0,1,0
52,25,2,3,93111,44,135,1.00,0,0,0,1,0
29,3,2,4,94132,65,244,1.80,0,0,0,0,0
53,29,1,4,95818,24,0,0.20,0,0,0,1,1
62,37,1,1,91942,11,0,0.10,0,0,0,1,0
51,27,3,2,90401,38,164,1.00,0,0,0,1,0
36,12,2,4,93524,10,81,0.70,0,0,0,0,0
24,0,1,1,95133,135,0,1.50,0,0,0,1,0
29,3,1,3,92173,148,0,4.10,1,0,0,1,0
52,26,2,2,92717,63,0,1.50,0,1,0,1,0
39,14,3,1,91320,115,0,1.00,0,0,0,1,0
48,23,1,1,95616,45,0,0.30,0,0,0,1,1
46,21,3,3,94305,159,315,1.90,1,0,0,1,0
64,40,1,2,91320,169,122,2.10,0,0,0,1,0
55,29,1,2,94043,112,0,1.40,0,0,0,1,0
60,36,1,1,92521,93,0,4.30,0,0,0,1,0
51,25,3,1,90404,29,140,0.30,0,0,0,0,0
50,23,2,1,92122,85,0,2.67,0,0,0,1,0
48,24,1,4,93118,21,0,0.60,0,0,0,1,1
53,29,1,2,92697,144,0,6.80,0,0,0,1,0
34,10,1,4,94577,13,95,1.00,0,1,0,1,0
48,24,1,1,93407,165,0,5.00,0,0,0,0,1
55,31,1,4,91345,9,89,0.70,0,0,0,1,0
27,3,1,4,94123,59,90,0.00,0,1,0,1,0
36,11,3,1,92152,158,0,5.10,1,0,1,1,1
32,6,3,1,91355,29,0,1.90,0,0,0,1,1
35,9,3,2,94609,20,0,1.40,0,0,0,1,1
30,3,2,4,94306,68,0,2.00,0,0,0,1,0
58,34,1,4,95747,65,0,2.20,0,0,0,1,0
56,31,2,2,96150,61,105,1.90,0,0,0,0,0
38,12,2,4,95616,91,100,1.40,0,0,0,0,1
49,25,1,1,91355,31,0,1.00,0,1,0,1,0
34,10,2,4,94115,71,0,0.10,0,0,0,0,0
40,16,1,4,94110,73,0,2.67,0,0,0,1,1
64,39,1,4,94707,172,282,3.10,1,0,1,1,1
51,26,1,2,92131,20,0,0.00,0,0,0,0,0
44,18,1,1,94720,55,0,0.20,0,0,0,0,0
46,22,1,2,91604,69,209,1.70,0,0,0,0,0
57,33,1,1,91326,155,0,7.40,0,0,0,1,0
54,28,2,1,90291,94,0,1.90,0,0,0,0,0
38,14,1,2,95818,92,249,0.00,0,0,0,1,1
27,3,1,2,95521,125,0,0.60,0,0,0,0,0
39,14,1,3,94305,74,0,3.00,0,0,0,0,0
44,20,3,3,92807,72,0,0.30,0,0,0,1,0
56,30,3,1,94707,61,0,2.20,0,0,0,1,1
32,6,1,2,92130,25,0,0.30,0,0,0,0,1
45,19,2,2,95051,83,0,1.70,0,0,0,1,0
26,2,1,3,94306,104,0,2.50,0,0,0,0,0
55,25,3,3,95014,41,0,1.00,0,0,0,1,0
52,27,3,4,94305,58,91,1.80,0,0,0,0,0
39,13,3,1,94720,93,0,1.50,0,0,0,0,1
24,-1,2,2,94085,39,0,1.70,0,0,0,0,0
47,23,1,2,94551,148,0,7.50,0,0,1,1,1
47,22,3,4,92677,53,98,1.90,0,1,1,0,1
48,24,1,2,93117,71,145,1.70,0,0,0,0,1
47,22,2,1,94720,92,0,2.80,0,0,0,1,0
35,10,3,4,94304,61,0,2.10,0,0,0,1,0
46,19,2,3,94122,38,135,2.50,0,0,0,0,0
62,37,1,4,91320,58,0,1.70,0,0,0,1,0
26,1,2,1,95616,80,150,0.80,0,0,0,0,0
38,8,3,4,94720,71,0,1.80,0,0,0,1,0
43,18,3,3,93407,89,0,0.50,0,0,0,1,1
62,38,3,1,92521,83,0,1.80,0,0,0,1,0
57,32,1,3,95831,28,0,0.20,0,0,0,1,1
28,3,2,4,94112,52,0,1.70,0,0,0,0,0
51,26,1,1,90089,70,169,1.20,0,0,0,0,0
48,22,3,1,91711,71,0,1.40,0,0,0,0,1
41,16,3,1,94005,75,280,3.70,0,0,0,0,0
65,39,3,3,90095,170,99,7.90,1,0,1,1,0
41,17,1,4,94025,78,78,0.80,0,0,0,1,0
35,11,2,2,92614,25,0,1.00,0,0,0,0,0
38,14,3,2,94025,60,0,0.60,0,0,0,1,1
53,29,2,4,92626,120,111,2.70,1,1,1,1,0
55,29,1,2,92121,99,264,1.40,0,0,0,1,1
26,1,3,3,90089,55,113,2.60,0,0,0,0,1
30,6,2,3,94305,29,117,1.00,0,0,0,0,0
54,28,2,2,92182,170,325,6.20,1,0,0,1,0
65,40,1,3,91711,53,0,2.20,0,0,0,0,1
47,21,1,1,94583,138,0,0.00,0,0,0,0,0
65,41,3,3,91942,134,121,3.90,1,0,0,1,0
66,40,3,2,92103,42,138,0.70,0,0,0,0,1
26,0,3,4,92697,99,0,2.30,0,0,0,0,1
66,41,1,3,92691,18,0,0.50,0,0,0,0,1
35,9,1,4,95747,24,0,0.30,0,0,0,1,0
56,30,1,1,94107,55,77,1.40,0,0,0,1,0
51,27,1,1,92407,58,0,0.00,0,0,0,0,1
42,16,3,2,93106,111,251,1.20,1,0,0,1,0
49,23,3,1,90245,33,0,0.30,0,0,1,1,1
27,1,2,4,92121,74,112,1.80,0,0,0,1,1
45,19,1,2,90840,38,0,0.70,0,0,0,0,0
49,23,3,4,94305,23,98,0.60,0,1,0,0,0
63,38,1,2,94720,61,0,1.50,0,0,0,1,0
47,22,1,1,90504,81,138,2.90,0,0,0,0,0
64,39,1,1,94002,129,0,2.50,0,0,0,1,0
43,13,3,1,95039,33,0,0.75,0,0,0,0,0
60,36,1,4,94063,63,0,2.20,0,0,0,1,0
40,14,2,4,94923,70,0,1.40,0,0,0,1,0
29,3,1,4,95023,45,158,0.20,0,0,0,1,1
41,16,3,3,90095,65,0,0.50,0,0,0,1,0
30,5,1,4,95616,74,0,2.20,0,1,0,0,1
49,24,3,4,94706,50,0,1.80,0,1,0,0,0
30,5,3,4,90058,22,109,0.50,0,0,0,1,0
29,2,3,4,92126,30,0,1.00,0,0,0,0,0
50,26,1,4,91125,21,0,1.00,0,0,0,1,0
39,14,1,2,94577,155,0,3.90,0,0,0,1,0
33,8,3,4,92121,64,164,2.10,0,0,0,1,0
57,31,3,4,94118,65,0,2.60,0,0,0,0,1
34,9,3,4,91711,71,0,0.70,0,0,0,1,0
61,36,2,3,90029,40,0,0.50,0,1,0,1,0
44,19,3,3,92806,69,0,0.50,0,0,0,1,0
40,13,2,3,94305,69,0,2.33,0,0,0,0,0
51,25,2,3,94806,45,131,0.60,0,0,0,1,0
37,12,2,3,92110,62,0,0.70,0,0,0,0,1
44,19,3,2,94306,172,391,4.30,1,1,1,1,0
42,15,2,3,92121,24,0,1.00,0,0,0,1,1
51,25,1,1,92373,80,0,4.90,0,0,0,0,0
43,16,2,3,90089,8,88,0.67,0,0,0,1,0
30,5,1,4,94542,38,129,0.80,0,0,0,1,1
45,19,3,4,90095,93,0,2.60,0,0,0,0,0
35,9,1,1,94536,55,0,2.00,0,0,0,1,0
60,34,3,2,94304,64,0,1.70,0,0,0,0,1
34,9,1,1,90623,122,0,0.00,0,0,0,1,0
55,25,3,3,93720,70,0,1.40,0,0,0,1,0
43,19,1,2,92069,81,0,3.20,0,0,0,0,0
41,15,3,1,90057,159,0,5.50,1,0,1,1,0
34,9,1,4,92843,70,0,1.30,0,1,0,0,0
65,39,1,2,92120,150,196,6.90,0,0,0,0,0
45,21,1,2,94550,152,0,7.50,0,0,0,1,0
49,25,1,4,95605,195,617,3.00,1,0,0,0,0
48,23,1,1,90740,22,0,0.10,0,0,0,0,0
60,35,1,1,91207,22,123,1.30,0,0,0,1,0
55,29,1,3,92373,79,0,0.80,0,0,0,1,1
42,18,3,1,90401,33,0,1.40,0,0,0,1,0
32,8,1,2,94720,128,0,4.33,0,0,1,1,1
62,38,1,1,95929,91,0,3.80,0,1,0,1,0
57,32,1,4,90277,39,0,0.90,0,0,0,1,1
52,26,1,1,94550,121,167,7.30,0,0,0,1,0
36,6,3,1,91741,21,0,0.67,0,1,0,1,0
34,9,1,3,93720,41,0,2.30,0,0,0,0,1
63,37,3,2,93437,45,0,0.70,0,0,0,1,0
24,-2,3,3,90630,51,0,0.30,0,0,0,1,0
57,31,2,1,95054,165,0,1.60,1,0,0,1,0
40,16,2,2,91335,119,0,4.20,1,0,0,1,0
27,2,3,4,95670,110,190,1.80,0,0,0,1,0
65,39,2,3,90034,20,0,0.70,0,0,0,0,1
60,34,2,1,90266,64,248,0.80,0,0,0,0,0
44,20,2,3,92717,101,82,4.40,1,0,0,0,0
63,39,1,1,92007,101,0,3.90,1,1,1,1,0
59,34,1,1,90034,99,0,4.40,1,0,0,0,0
56,30,1,4,90089,158,0,6.10,1,0,0,0,0
54,28,2,1,95039,89,0,1.90,0,0,0,1,1
52,27,3,1,95616,80,0,1.30,0,0,1,1,1
58,32,1,2,91330,114,402,2.00,0,0,0,1,0
60,35,2,3,94110,49,0,0.50,0,0,0,1,1
28,4,1,1,90064,191,0,6.33,0,0,0,1,0
54,30,2,4,92374,78,0,1.00,0,0,0,1,0
32,6,1,3,94115,28,0,1.00,0,0,0,0,0
59,33,2,1,95630,42,0,0.80,0,0,0,1,0
63,38,1,1,92407,140,0,2.50,0,0,0,0,0
48,23,2,1,95053,45,0,1.30,0,0,0,1,0
56,32,1,2,95827,122,360,0.30,0,0,1,1,1
36,12,2,3,95051,65,0,2.60,0,0,0,1,0
57,27,3,1,94117,68,0,1.40,0,0,0,1,0
29,3,1,2,93657,153,392,2.00,0,0,0,0,0
39,13,2,4,92110,89,0,1.40,0,0,0,0,0
59,34,1,1,93524,91,0,2.60,0,0,0,1,1
31,6,2,4,92038,55,185,2.00,0,0,0,1,0
43,19,1,2,91304,118,0,3.30,0,0,0,0,1
35,5,3,1,93407,22,103,0.67,0,0,0,0,0
54,24,3,3,92606,63,138,1.40,0,0,0,1,1
51,27,2,4,92192,12,78,0.50,0,1,0,1,0
44,19,2,3,90745,50,0,2.70,0,0,0,1,0
25,0,3,2,94305,43,0,1.60,0,1,1,1,1
40,15,1,4,95060,173,0,6.60,1,0,1,1,1
26,2,1,2,93407,60,132,3.00,1,0,0,0,0
39,14,3,1,94301,113,0,1.00,0,1,0,1,0
28,4,2,4,92182,155,0,5.30,1,0,0,1,0
52,28,2,4,92692,91,0,1.00,0,0,0,0,1
53,29,2,4,95818,55,0,1.10,0,0,0,1,0
44,20,1,2,90277,173,419,1.40,0,0,0,1,0
43,19,3,3,92101,71,0,0.30,0,0,0,0,1
56,30,3,2,94704,24,88,0.40,0,0,0,0,0
38,14,2,1,94610,42,81,2.00,0,0,0,1,0
30,6,1,2,94539,141,0,4.33,0,0,0,1,0
32,6,3,1,93106,32,0,1.90,0,0,0,1,0
35,10,1,4,94539,55,0,1.30,0,0,0,0,0
43,19,1,2,90254,153,0,7.50,0,0,0,1,0
58,32,1,2,94590,113,270,1.40,0,0,0,0,1
25,0,2,2,92691,30,0,1.70,0,0,0,0,0
54,24,3,3,92028,29,148,1.00,0,0,0,0,1
57,32,2,1,90089,174,466,6.80,1,0,0,1,0
50,24,3,1,92717,35,0,0.30,0,0,0,1,0
32,8,2,2,95054,98,175,2.00,0,0,0,1,0
63,37,3,2,92054,30,159,1.00,0,0,0,1,0
31,6,1,2,95051,58,0,2.50,0,0,0,0,1
36,12,1,4,92101,25,147,1.00,0,0,0,0,0
58,34,1,4,92029,19,0,0.70,0,0,0,0,0
56,30,2,4,93105,44,174,0.70,0,0,0,1,0
49,25,1,4,90291,20,111,1.00,0,0,0,1,1
30,5,1,2,91941,98,220,3.10,0,0,0,1,0
33,7,1,3,92346,90,0,1.60,0,0,0,1,0
45,21,1,3,94304,61,0,0.70,0,0,0,0,0
30,5,2,4,94402,40,0,2.00,0,0,0,1,0
47,23,3,2,94618,38,0,2.10,0,0,0,0,0
25,0,2,2,92093,28,0,1.70,0,0,0,0,0
63,33,3,1,94305,34,0,1.50,0,0,0,1,1
55,29,3,2,95616,73,0,2.30,0,0,0,1,1
65,41,1,4,94904,133,0,2.00,1,0,0,0,1
44,18,1,1,94608,53,0,0.20,0,0,0,1,0
51,25,3,4,9307,21,0,0.60,0,0,0,1,1
35,9,1,3,93943,40,0,0.90,0,0,0,1,0
30,5,2,4,95051,41,0,1.70,0,0,0,1,0
31,5,2,4,95482,82,0,1.80,0,0,0,1,0
54,30,3,4,95814,100,0,3.40,1,0,0,0,0
45,20,1,1,90024,155,0,7.00,0,0,0,1,1
45,19,1,1,92521,45,0,0.20,0,0,0,1,0
58,32,3,3,94080,9,0,0.30,0,0,0,0,1
54,29,3,4,91709,48,0,1.80,0,0,0,1,0
53,28,3,4,90095,18,109,0.10,0,1,1,1,1
33,9,1,4,91311,80,0,3.40,0,0,0,1,1
60,35,1,2,94509,64,0,2.80,0,0,0,0,0
50,24,1,4,93023,29,0,0.10,0,0,0,0,0
26,2,2,3,90503,48,0,0.70,0,0,0,1,0
54,30,1,2,94608,23,0,0.40,0,0,0,0,0
28,3,1,4,90024,84,0,0.20,0,0,0,1,1
36,10,1,3,94542,179,0,6.60,1,0,0,1,0
29,2,2,4,95747,30,112,1.50,0,0,0,0,1
54,28,1,1,91604,93,133,4.90,0,0,1,1,1
55,30,2,2,92647,39,0,1.90,0,0,0,0,0
61,36,2,3,92866,60,182,0.50,0,0,0,0,0
36,11,1,1,90245,133,290,3.80,0,1,1,1,1
45,19,1,1,92354,125,0,2.40,0,0,0,0,0
64,40,3,1,93437,58,0,1.80,0,0,0,1,0
60,36,1,2,91745,89,0,2.80,0,0,0,1,0
49,22,2,1,90019,82,125,2.67,0,0,0,1,0
47,23,1,2,94111,110,0,3.30,0,0,0,1,1
60,36,3,4,92182,54,0,2.30,0,1,0,0,0
45,20,3,4,93311,89,0,1.90,0,0,0,1,0
32,7,1,3,92407,42,0,2.30,0,0,0,1,0
52,28,2,3,94309,41,0,1.90,0,0,0,0,1
35,8,2,4,93106,38,124,1.00,0,0,0,1,0
40,15,1,2,94304,85,0,0.40,0,0,0,1,0
53,29,2,4,90073,83,0,1.00,0,0,0,1,0
27,0,3,4,90089,33,0,1.00,0,0,0,0,0
58,33,1,4,94501,50,0,2.10,0,0,0,0,1
47,22,3,4,93105,58,0,3.60,0,0,0,1,1
28,3,2,4,92333,115,0,3.10,1,0,0,0,0
46,20,1,2,91380,145,0,6.30,0,1,1,1,0
43,19,1,2,95616,161,0,7.50,0,0,0,0,0
56,30,1,1,92029,38,0,0.20,0,0,0,0,0
28,3,1,4,90505,28,0,0.80,0,0,0,1,0
42,18,1,3,92182,75,0,2.33,0,0,0,0,1
32,7,1,3,92521,35,116,1.30,0,0,0,0,1
62,38,1,2,94720,24,116,1.00,0,0,0,0,1
37,13,2,4,94998,78,0,0.10,0,0,0,1,0
51,26,3,1,94086,113,161,1.30,0,0,0,1,0
39,13,1,3,94305,75,224,2.10,0,0,0,1,0
43,17,1,1,91311,91,0,5.70,0,0,0,1,0
52,28,1,4,91330,31,141,0.20,0,0,0,1,1
30,6,2,1,95819,45,0,1.80,0,0,0,1,0
52,26,1,3,94709,80,0,0.80,0,0,0,0,0
61,35,3,3,92122,50,112,1.40,0,0,0,1,0
36,9,2,4,95825,31,0,1.00,0,1,0,1,0
58,32,2,2,93943,113,119,3.80,1,0,1,1,1
47,23,1,4,94304,29,0,0.60,0,0,0,1,0
64,39,1,2,92626,59,139,1.50,0,0,0,1,0
52,27,2,1,93555,43,0,1.30,0,1,0,1,0
58,28,3,1,95136,122,115,3.00,1,0,0,1,0
48,24,1,1,90509,29,0,1.00,0,0,0,0,0
64,40,3,2,93106,91,0,0.00,0,0,0,1,1
58,32,3,3,94590,65,0,2.20,0,0,0,1,0
47,23,1,1,93108,22,0,1.00,0,0,0,0,1
49,23,3,1,95134,71,0,1.40,0,0,0,0,0
31,4,2,4,94588,60,0,2.00,0,0,0,1,1
61,37,3,3,91706,60,0,2.00,0,0,0,1,0
51,25,1,1,95747,69,0,0.30,0,0,0,1,1
28,-2,3,2,94132,48,89,1.75,0,0,0,1,0
39,13,2,3,94022,21,0,0.20,0,0,0,0,0
54,28,2,4,92109,53,0,2.80,0,1,0,0,0
50,24,3,3,94110,29,0,0.90,0,0,0,0,0
30,4,2,4,91107,60,0,2.20,0,0,0,1,0
64,39,2,3,92068,42,116,0.50,0,0,0,1,0
29,3,3,3,94303,69,0,0.30,0,0,0,0,0
48,24,1,1,95841,20,0,1.00,0,0,0,1,1
35,10,1,2,91107,200,458,3.00,0,0,0,0,0
60,36,1,2,90277,141,0,2.10,0,0,0,1,1
55,30,1,2,92123,81,0,3.70,0,1,0,0,0
29,4,3,3,91423,183,0,8.30,1,0,0,1,0
48,22,2,2,94928,149,0,5.50,1,1,1,1,0
43,19,3,4,94305,83,0,3.60,1,0,0,0,1
66,42,2,1,94305,35,172,1.90,0,0,0,1,0
25,0,3,2,91342,13,0,0.90,0,0,0,1,0
45,20,1,1,90232,39,0,2.40,0,0,0,0,1
34,10,3,1,92634,21,0,0.50,0,0,0,1,0
48,23,3,2,94609,10,0,0.70,0,0,0,1,1
32,6,2,4,91006,84,0,1.80,0,0,0,0,0
50,24,1,4,91768,30,161,0.10,0,0,0,1,1
43,19,1,4,90007,31,156,0.30,0,0,0,1,0
64,39,2,1,93955,182,547,1.20,1,0,0,1,0
60,34,1,2,90028,114,0,6.90,0,0,0,1,0
43,19,2,3,92008,152,0,6.10,1,0,0,0,0
60,34,2,1,92717,53,0,0.80,0,1,0,0,1
64,39,2,4,95112,24,78,0.40,0,0,0,1,0
44,20,1,2,95060,150,0,3.30,0,0,0,0,1
60,36,1,2,92154,132,470,6.00,0,0,0,1,1
54,29,3,3,94998,68,0,1.60,0,0,0,1,1
33,9,1,1,94063,53,0,1.20,0,0,0,0,1
